縣市,案名,狀態,動工日期,(預計)完工日期,戶數,樓數,地址,Latitude,Longitude
桃園市,[桃園] 龍安安居,待開工,114/3/31,117/9/30,409,1, 320桃園市中壢區中山東路四段152巷3號,24.9346599,121.258612
桃園市,[桃園] 過嶺安居,待開工,114/7/31,117/6/30,220,1,32050桃園市中壢區高鐵南路五段202-7號,24.9701114,121.1696494
桃園市,[桃園] 埔心安居B,待開工,115/2/28,118/4/30,312,1,326桃園市楊梅區文化街75號,24.9147835,121.1845298
桃園市,[桃園] 埔心安居C,待開工,115/2/28,118/4/30,200,1,326桃園市楊梅區文化街75號,24.9147835,121.1845298
桃園市,[桃園] 大平安居,待開工,115/5/31,118/8/31,215,1,326桃園市楊梅區楊湖路一段239巷85號,24.9064536,121.1324203
桃園市,[桃園] 大華安居A,待開工,114/3/31,116/1/31,144,1, 338桃園市蘆竹區大華街75號,25.0383558,121.2543319
桃園市,[桃園] 大華安居B,待開工,114/3/31,116/1/31,81,1, 338桃園市蘆竹區大華街75號,25.0383558,121.2543319
桃園市,[桃園] 白鷺安居,待開工,115/2/28,118/5/31,933,1, 320桃園市八德區興仁路二段25-1號,24.9597882,121.2640051
桃園市,[桃園] 中正段1209地號等16筆土地及法政段1222等3筆土地都市更新事業(正光路警察宿舍),興建中,112/5/19,"115/10/31	",255,1,330桃園市桃園區正光路300號,24.9985683,121.2952876
桃園市,[桃園] 慈文安居,興建中,111/3/7,114/5/27,288,1,330桃園市桃園區慈文路284巷9號,25.006413,121.300245
桃園市,[桃園] 桃園段武陵小段31地號都市更新事業(復興路),興建中,113/1/18,"116/12/31	",75,1,成功路二段、朝陽街㇐段、鎮江街,24.99179,121.314797
桃園市,[桃園] 太武安居,興建中,114/3/7,"116/11/30	",496,1,335桃園市大溪區慈光一街150巷2號,24.9022549,121.2816593
桃園市,[桃園] 振興安居,興建中,113/12/6,"117/5/31	",370,1,320桃園市中壢區龍岡路三段206巷8號,24.934876,121.2338793
